赛季, 第一名（主教练）, 第二名（主教练）, 第三名（主教练）, 第四名（主教练）
2024 - 2025赛季, 拜仁慕尼黑（文森特·孔帕尼）, 勒沃库森（哈维·阿隆索）, 法兰克福（迪诺·托普穆勒）, 多特蒙德（努里·沙欣）
2023 - 2024赛季, 勒沃库森（哈维·阿隆索）, 拜仁慕尼黑（托马斯·图赫尔）, 斯图加特（塞巴斯蒂安·赫内斯）, 多特蒙德（埃丁·特尔齐奇）
2022 - 2023赛季, 拜仁慕尼黑（尤利安·纳格尔斯曼、托马斯·图赫尔）, 多特蒙德（埃丁·特尔齐奇）, RB莱比锡（马尔科·罗泽）, 柏林联合（乌尔斯·菲舍尔）
2021 - 2022赛季, 拜仁慕尼黑（尤利安·纳格尔斯曼）, 多特蒙德（马尔科·罗泽）, 勒沃库森（赫拉尔多·塞奥ane）, RB莱比锡（多梅尼科·特德斯科）
2020 - 2021赛季, 拜仁慕尼黑（汉斯 - 弗利克）, RB莱比锡（尤利安·纳格尔斯曼）, 多特蒙德（埃丁·特尔齐奇）, 沃尔夫斯堡（奥利弗·格拉斯纳）
2019 - 2020赛季, 拜仁（汉斯 - 弗利克）, 多特蒙德（卢西恩·法夫雷）, RB莱比锡（尤利安·纳格尔斯曼）, 门兴（马尔科·罗斯）
2018 - 2019赛季, 拜仁（尼科·科瓦奇、汉斯 - 弗利克）, 多特蒙德（吕西安·法夫尔）, RB莱比锡（拉尔夫·朗尼克、尤利安·纳格尔斯曼）, 勒沃库森（海科·赫尔利希、彼得·博斯）
2017 - 2018赛季, 拜仁（卡洛·安切洛蒂、尤利安·纳格尔斯曼）, 沙尔克04（多梅尼科·特德斯科）, 霍芬海姆（尤利安·纳格尔斯曼）, 多特蒙德（彼得·博斯、彼得·斯托格）
2016 - 2017赛季, 拜仁（卡洛·安切洛蒂）, RB莱比锡（拉尔夫·朗尼克、哈森许特尔）, 多特蒙德（托马斯·图赫尔）, 霍芬海姆（尤利安·纳格尔斯曼）
2015 - 2016赛季, 拜仁（佩普·瓜迪奥拉）, 多特蒙德（托马斯·图赫尔）, 勒沃库森（罗杰·施密特）, 门兴（安德烈·舒伯特、黑金）
2014 - 2015赛季, 拜仁（佩普·瓜迪奥拉）, 沃尔夫斯堡（迪特·黑金）, 门兴（吕西安·法夫尔）, 勒沃库森（罗杰·施密特）
2013 - 2014赛季, 拜仁（佩普·瓜迪奥拉）, 多特蒙德（尤尔根·克洛普）, 勒沃库森（萨米·海皮亚、萨沙·莱万多夫斯基、罗杰·施密特）, 沙尔克04（延斯·凯勒、胡斯·希丁克、罗伯托·迪马特奥）
2012 - 2013赛季, 拜仁（尤尔根·克林斯曼、海因克斯）, 多特蒙德（尤尔根·克洛普）, 勒沃库森（海皮亚、沙沙·莱万多夫斯基）, 法兰克福（阿明·费、阿明·维、托马斯·绍尔）
2011 - 2012赛季, 多特蒙德（尤尔根·克洛普）, 拜仁（尤尔根·克林斯曼、海因克斯）, 沙尔克04（延斯·凯勒、胡斯·希丁克、罗伯托·迪马特奥）, 门兴（吕西安·法夫尔）
2010 - 2011赛季, 多特蒙德（尤尔根·克洛普）, 勒沃库森（尤普·海因克斯）, 拜仁（路易斯·范加尔）, 汉诺威96（米尔科·斯洛姆卡）
2009 - 2010赛季, 拜仁慕尼黑（路易斯·范加尔）, 沙尔克04（费利克斯·马加特）, 云达不莱梅（托马斯·沙夫）, 勒沃库森（尤普·海因克斯）
2008 - 2009赛季, 沃尔夫斯堡（阿明·费）, 拜仁慕尼黑（尤尔根·克林斯曼、尤普·海因克斯）, 斯图加特（马库斯·巴贝尔、阿明·费）, 柏林赫塔（吕西安·法夫尔）
2007 - 2008赛季, 拜仁慕尼黑（尤尔根·克林斯曼、奥特马尔·希斯菲尔德）, 云达不莱梅（托马斯·沙夫）, 沙尔克04（米尔科·斯洛姆卡、弗雷德·鲁滕）, 汉堡（马丁·约尔）
2006 - 2007赛季, 斯图加特（阿尔明·费）, 沙尔克04（米尔科·斯洛姆卡）, 云达不莱梅（托马斯·沙夫）, 拜仁慕尼黑（费利克斯·马加特）
2005 - 2006赛季, 拜仁慕尼黑（费利克斯·马加特）, 云达不莱梅（托马斯·沙夫）, 汉堡（托马斯·多尔）, 沙尔克04（拉尔夫·朗尼克）
2004 - 2005赛季, 拜仁慕尼黑（奥特马尔·希斯菲尔德）, 沙尔克04（拉尔夫·朗尼克）, 云达不莱梅（托马斯·沙夫）, 柏林赫塔（法尔科·格茨）
2003 - 2004赛季, 云达不莱梅（托马斯·沙夫）, 拜仁慕尼黑（奥特马尔·希斯菲尔德）, 斯图加特（马蒂亚斯·萨默尔）, 多特蒙德（伯特·范马尔维克）
2002 - 2003赛季, 拜仁慕尼黑（奥特马尔·希斯菲尔德）, 斯图加特（费利克斯·马加特）, 多特蒙德（马蒂亚斯·萨默尔）, 柏林赫塔（胡斯·希丁克）
2001 - 2002赛季, 多特蒙德（马蒂亚斯·萨默尔）, 勒沃库森（克劳斯·托普穆勒）, 拜仁慕尼黑（奥特马尔·希斯菲尔德）, 柏林赫塔（埃里希·里贝克）
2000 - 2001赛季, 拜仁慕尼黑（奥特马尔·希斯菲尔德）, 沙尔克04（胡布·史蒂文斯）, 勒沃库森（克劳斯·托普穆勒）, 汉堡（库尔特·亚拉）
1999 - 2000赛季, 拜仁慕尼黑（希斯菲尔德）, 勒沃库森（道姆）, 汉堡（马加特）, 慕尼黑1860（里贝克）
1998 - 1999赛季, 拜仁慕尼黑（希斯菲尔德）, 勒沃库森（托普穆勒）, 柏林赫塔（吕西安·法夫尔）, 多特蒙德（萨默尔）
1997 - 1998赛季, 凯泽斯劳滕（雷哈格尔）, 拜仁慕尼黑（希斯菲尔德）, 勒沃库森（托普穆勒）, 斯图加特（道姆）
1996 - 1997赛季, 拜仁慕尼黑（特拉帕托尼）, 勒沃库森（福格茨）, 多特蒙德（萨默尔）, 斯图加特（马加特）
1995 - 1996赛季, 多特蒙德（希斯菲尔德）, 拜仁慕尼黑（特拉帕托尼）, 沙尔克04（斯蒂文斯）, 门兴格拉德巴赫（福格茨）
1994 - 1995赛季, 多特蒙德（哈佩尔）, 云达不莱梅（雷哈格尔）, 弗赖堡（马加特）, 凯泽斯劳滕（海因克斯）
1993 - 1994赛季, 拜仁慕尼黑（雷哈格尔）, 凯泽斯劳滕（奥托·雷哈格尔）, 多特蒙德（萨默尔）, 法兰克福（埃里希·里贝克）
1992 - 1993赛季, 云达不莱梅（雷哈格尔）, 斯图加特（马加特）, 勒沃库森（梅耶）, 卡尔斯鲁厄（海因克斯）
1991 - 1992赛季, 斯图加特（弗格茨）, 法兰克福（马加特）, 门兴格拉德巴赫（海因克斯）, 多特蒙德（汉斯·穆勒）
1990 - 1991赛季, 凯泽斯劳滕（福格茨）, 拜仁慕尼黑（拉特克）, 云达不莱梅（雷哈格尔）, 科隆（马加特）
1989 - 1990赛季, 拜仁慕尼黑（拉特克）, 云达不莱梅（雷哈格尔）, 科隆（未知）, 门兴格拉德巴赫（未知）
1988 - 1989赛季, 拜仁慕尼黑（拉特克）, 云达不莱梅（雷哈格尔）, 科隆（马加特）, 门兴格拉德巴赫（海因克斯）
1987 - 1988赛季, 云达不莱梅（雷哈格尔）, 拜仁慕尼黑（未知）, 科隆（未知）, 斯图加特、纽伦堡、汉堡（并列第四，主教练未知）
1986 - 1987赛季, 拜仁慕尼黑（未知）, 汉堡（未知）, 未知, 未知
1985 - 1986赛季, 拜仁慕尼黑（未知）, 拜仁（未知，可能存在信息缺失或记录差异）, 未知, 未知
1984 - 1985赛季, 拜仁慕尼黑（未知）, 云达不莱梅（未知）, 科隆（未知）, 门兴格拉德巴赫（未知）
1983 - 1984赛季, 斯图加特（未知）, 汉堡（未知）, 门兴格拉德巴赫（未知）, 未知
1982 - 1983赛季, 汉堡（未知）, 科隆（未知）, 未知, 未知
1981 - 1982赛季, 汉堡（未知）, 拜仁慕尼黑（未知）, 未知, 未知
1980 - 1981赛季, 拜仁慕尼黑（未知）, 法兰克福（未知）, 未知, 未知
1979 - 1980赛季, 拜仁慕尼黑（未知）, 未知, 未知, 未知
1978 - 1979赛季, 汉堡（未知）, 未知, 未知, 未知
1977 - 1978赛季, 科隆（未知）, 未知, 未知, 未知
1976 - 1977赛季, 门兴格拉德巴赫（未知）, 未知, 未知, 未知
1975 - 1976赛季, 门兴格拉德巴赫（未知）, 未知, 未知, 未知
1974 - 1975赛季, 门兴格拉德巴赫（未知）, 未知, 未知, 未知
1973 - 1974赛季, 拜仁慕尼黑（未知）, 未知, 未知, 未知
1972 - 1973赛季, 拜仁慕尼黑（未知）, 未知, 未知, 未知
1971 - 1972赛季, 拜仁慕尼黑（未知）, 未知, 未知, 未知
1970 - 1971赛季, 门兴格拉德巴赫（未知）, 未知, 未知, 未知
1969 - 1970赛季, 门兴格拉德巴赫（未知）, 未知, 未知, 未知
1968 - 1969赛季, 拜仁慕尼黑（未知）, 未知, 未知, 未知
1967 - 1968赛季, 纽伦堡（未知）, 未知, 未知, 未知
1966 - 1967赛季, 不伦瑞克（未知）, 未知, 未知, 未知
1965 - 1966赛季, 慕尼黑1860（未知）, 未知, 未知, 未知
1964 - 1965赛季, 云达不莱梅（未知）, 未知, 未知, 未知
1963 - 1964赛季, 科隆（未知）, 未知, 未知, 未知
