年份, 得主, 国籍, 所在俱乐部, 主要荣誉,,
2024, 罗德里, 西班牙, 曼城, 英超冠军、欧洲超级杯冠军、世俱杯冠军,,
2023, 梅西, 阿根廷, 迈阿密国际, 法甲冠军、法国超级杯冠军、世界杯冠军,,
2022, 本泽马, 法国, 皇家马德里, 西甲冠军、欧冠冠军、欧洲超级杯冠军、世俱杯冠军,,
2021, 梅西, 阿根廷, 巴黎圣日耳曼, 美洲杯冠军，西班牙国王杯冠军；个人荣获美洲杯最佳球员、美洲杯金靴，西甲金靴等,,
2020, 疫情取消, -, -, 莱万多夫斯基拜仁五冠王没获奖比较遗憾,,
2019, 梅西, 阿根廷, 巴塞罗那, 西甲冠军,,
2018, 卢卡·莫德里奇, 克罗地亚, 皇家马德里, 欧冠冠军、欧洲超级杯冠军、世俱杯冠军,,
2017, C罗, 葡萄牙, 皇家马德里, 西甲冠军、欧冠冠军、欧洲超级杯冠军、世俱杯冠军,,
2016, C罗, 葡萄牙, 皇家马德里, 欧冠冠军、欧洲超级杯冠军、世俱杯冠军,,
2015, 梅西, 阿根廷, 巴塞罗那, 西甲冠军、国王杯冠军、欧冠冠军、欧洲超级杯冠军、世俱杯冠军,,
2014, C罗, 葡萄牙, 皇家马德里, 欧冠冠军、国王杯冠军、欧洲超级杯冠军、世俱杯冠军,,
2013, C罗, 葡萄牙, 皇家马德里, 西甲冠军、国王杯冠军、西班牙超级杯冠军,,
2012, 梅西, 阿根廷, 巴塞罗那, 西甲冠军、国王杯冠军、西班牙超级杯冠军、世俱杯冠军,,
2011, 梅西, 阿根廷, 巴塞罗那, 西甲冠军、欧冠冠军、西班牙超级杯冠军、欧洲超级杯冠军、世俱杯冠军,,
2010, 梅西, 阿根廷, 巴塞罗那, 西甲冠军、欧冠冠军、西班牙超级杯冠军、欧洲超级杯冠军、世俱杯冠军,,
2009, 梅西, 阿根廷, 巴塞罗那, 西甲冠军、国王杯冠军、欧冠冠军、西班牙超级杯冠军、欧洲超级杯冠军、世俱杯冠军,,
2008, C罗, 葡萄牙, 曼联, 欧冠冠军、英超冠军、世俱杯冠军、联赛杯冠军、社区盾杯冠军,,
2007, 卡卡, 巴西, 米兰, 欧冠联赛冠军，欧冠金靴，意甲年度最佳球员,,
2006, 法比奥·卡纳瓦罗, 意大利, 尤文图斯/皇马, 世界杯冠军，世界杯银球奖，意甲年度最佳球员,,
2005, 罗纳尔迪尼奥, 巴西, 巴塞罗那, 联合会杯冠军，西甲冠军，西班牙超级杯冠军,,
2004, 安德烈·舍甫琴科, 乌克兰, 米兰, 意甲冠军，意大利超级杯冠军，意甲金靴,,
2003, 帕维尔·内德维德, 捷克, 尤文图斯, 意甲冠军，意大利超级杯冠军，意甲年度最佳球员,,
2002, 罗纳尔多, 巴西, 信息暂缺, 世界杯冠军、世界杯金靴,,
2002, 罗纳尔多, 巴西, 皇家马德里, 丰田杯冠军、西甲冠军、欧洲超级杯冠军、西班牙超级杯冠军,,
2001, 欧文, 英格兰, 信息暂缺, 欧联杯冠军、英格兰足总杯冠军、英格兰联赛杯冠军,,
2000, 菲戈, 葡萄牙, 皇家马德里, 西甲冠军、丰田杯冠军,,
1999, 里瓦尔多, 巴西, 巴塞罗那, 西班牙国王杯冠军、欧洲金球奖,,
1998, 齐达内, 法国, 尤文图斯, 世界杯冠军、意甲冠军、世界杯铜球奖,,
1997, 罗纳尔多, 巴西, 巴塞罗那、国际米兰, 西班牙国王杯冠军、欧洲优胜者杯冠军、美洲杯冠军、欧洲金靴、西甲金靴、美洲杯最佳球员、欧洲优胜者杯MVP,,
1996, 萨默尔, 德国, 多特蒙德, 欧洲杯冠军、德甲联赛冠军、欧洲金球奖,,
1995, 乔治·维阿, 利比里亚, AC米兰, 意大利联赛冠军、欧洲金靴,,
1994, 赫里斯托·斯托伊奇科夫, 保加利亚, 巴塞罗那, 西班牙联赛冠军、西班牙国王杯冠军、欧洲金球奖,,
1993, 罗伯托·巴乔, 意大利, 尤文图斯, 欧洲联盟杯冠军、意大利杯冠军、欧洲金球奖,,
1992, 范巴斯滕, 荷兰, AC米兰, 意大利联赛冠军、欧洲金靴、欧洲金球奖,,
1991, 让-皮埃尔·帕潘, 法国, 马赛, 欧洲冠军联赛冠军、国外联赛冠军、国外杯冠军,,
1990, 马特乌斯, 德国, 国际米兰, 意大利杯冠军、欧洲联盟杯冠军、世界杯冠军、欧洲足球先生、德国足球先生、世界足球先生、世界最佳球员,,
1989, 范巴斯滕, 荷兰, AC米兰, 信息暂缺,,
1988, 范巴斯滕, 荷兰, AC米兰, 欧洲杯冠军,,
1987, 古利特, 荷兰, AC米兰, 欧洲足球先生,,
1986, 伊戈尔-别拉诺夫, 前苏联, 基辅迪纳摩, 苏联联赛冠军、欧洲优胜者杯冠军、欧洲金球奖,,
1985, 普拉蒂尼, 法国, 尤文图斯, 欧冠冠军、意甲最佳射手,,
1984, 普拉蒂尼, 法国, 尤文图斯, 欧洲杯冠军、意甲最佳射手,,
1983, 普拉蒂尼, 法国, 尤文图斯, 意甲冠军、意甲最佳射手,,
1982, 保罗-罗西, 意大利, 信息暂缺, 世界杯冠军、世界杯金靴奖、欧洲金球奖,,
1981, 鲁梅尼格, 德国, 拜仁慕尼黑, 信息暂缺,,
1980, 鲁梅尼格, 德国, 拜仁慕尼黑, 信息暂缺,,
1979, 凯文-基冈, 英格兰, 汉堡, 无,,
1978, 凯文-基冈, 英格兰, 汉堡, 无,,
1977, 阿兰-西蒙森, 丹麦, 门兴格拉德巴赫, 无,,
1976, 贝肯鲍尔, 德国, 拜仁慕尼黑, 无,,
1975, 布洛欣, 乌克兰, 基辅迪纳摩, 无,,
1974, 克鲁伊夫, 荷兰, 巴塞罗那, 无,,
1973, 克鲁伊夫, 荷兰, 阿贾克斯, 无,,
1972, 贝肯鲍尔, 德国, 拜仁慕尼黑, 无,,
1971, 克鲁伊夫, 荷兰, 阿贾克斯, 无,,
1970, 盖德-穆勒, 德国, 拜仁慕尼黑, 无,,
1969, 里维拉, 意大利, 米兰, 无,,
1968, 乔治-贝斯特, 北爱尔兰, 曼联, 无,,
1967, 阿尔伯特, 匈牙利, 费伦茨瓦罗斯, 无,,
1966, 博比-查尔顿, 英格兰, 曼联, 无,,
1965, 尤西比奥, 葡萄牙, 本菲卡, 无,,
1964, 丹尼斯-劳, 苏格兰, 曼联, 无,,
1963, 雅辛, 苏联, 莫斯科迪纳摩, 无,,
1962, 马索普斯特, 捷克斯洛伐克, 布拉格杜克拉, 无,,
1961, 西沃里, 意大利, 尤文图斯, 无,,
1960, 路易斯-苏亚雷斯, 西班牙, 巴塞罗那, 无,,
1959, 迪斯蒂法诺, 阿根廷, 皇家马德里, 无,,
1958, 科帕, 法国, 兰斯、皇家马德里, 无,,
1957, 迪斯蒂法诺, 阿根廷, 皇家马德里, 无,,
1956, 斯坦利-马修斯, 英格兰, 布莱克浦, 无,,
