赛季, 第一名（主教练）, 第二名（主教练）, 第三名（主教练）, 第四名（主教练）
2024 - 2025, 利物浦（斯洛特）, 阿森纳（阿尔特塔）, 曼城（瓜迪奥拉）, 切尔西（马雷斯卡）
2023 - 2024, 曼城（瓜迪奥拉）, 阿森纳（阿尔特塔）, 利物浦（克洛普）, 阿斯顿维拉（埃梅里）
2022 - 2023, 曼城（瓜迪奥拉）, 阿森纳（阿尔特塔）, 曼联（滕哈赫）, 纽卡斯尔联（埃迪·豪）
2021 - 2022, 曼城（瓜迪奥拉）, 利物浦（克洛普）, 切尔西（图赫尔）, 热刺（孔蒂）
2020 - 2021, 曼城（瓜迪奥拉）, 曼联（索尔斯克亚）, 利物浦（克洛普）, 切尔西（图赫尔）
2019 - 2020, 利物浦（克洛普）, 曼城（瓜迪奥拉）, 曼联（索尔斯克亚）, 切尔西（兰帕德）
2018 - 2019, 曼城（瓜迪奥拉）, 利物浦（克洛普）, 切尔西（萨里）, 热刺（波切蒂诺）
2017 - 2018, 曼城（瓜迪奥拉）, 曼联（穆里尼奥）, 热刺（波切蒂诺）, 利物浦（克洛普）
2016 - 2017, 切尔西（孔蒂）, 热刺（波切蒂诺）, 曼城（瓜迪奥拉）, 利物浦（克洛普）
2015 - 2016, 莱斯特城（拉涅利）, 阿森纳（温格）, 热刺（波切蒂诺）, 曼城（佩莱格里尼）
2014 - 2015, 切尔西（穆里尼奥）, 曼城（佩莱格里尼）, 阿森纳（温格）, 曼联（范加尔）
2013 - 2014, 曼城（佩莱格里尼）, 利物浦（罗杰斯）, 切尔西（穆里尼奥）, 阿森纳（温格）
2012 - 2013, 曼联（弗格森）, 曼城（曼奇尼）, 切尔西（贝尼特斯）, 阿森纳（温格）
2011 - 2012, 曼城（曼奇尼）, 曼联（弗格森）, 阿森纳（温格）, 热刺（雷德克纳普）
2010 - 2011, 曼联（弗格森）, 切尔西（安切洛蒂）, 曼城（曼奇尼）, 阿森纳（温格）
2009 - 2010, 切尔西（安切洛蒂）, 曼联（弗格森）, 阿森纳（温格）, 热刺（雷德克纳普）
2008 - 2009, 曼联（弗格森）, 利物浦（贝尼特斯）, 切尔西（斯科拉里、希丁克）, 阿森纳（温格）
2007 - 2008, 曼联（弗格森）, 切尔西（格兰特）, 阿森纳（温格）, 利物浦（贝尼特斯）
2006 - 2007, 曼联（弗格森）, 切尔西（穆里尼奥）, 利物浦（贝尼特斯）, 阿森纳（温格）
2005 - 2006, 切尔西（穆里尼奥）, 曼联（弗格森）, 利物浦（贝尼特斯）, 阿森纳（温格）
2004 - 2005, 切尔西（穆里尼奥）, 阿森纳（温格）, 曼联（弗格森）, 埃弗顿（莫耶斯）
2003 - 2004, 阿森纳（温格）, 切尔西（拉涅利）, 曼联（弗格森）, 利物浦（霍利尔）
2002 - 2003, 曼联（弗格森）, 阿森纳（温格）, 纽卡斯尔联（罗布森）, 切尔西（拉涅利）
2001 - 2002, 阿森纳（温格）, 利物浦（霍利尔）, 曼联（弗格森）, 纽卡斯尔联（罗布森）
1999 - 2000, 曼联（弗格森）, 阿森纳（温格）, 利兹联（奥莱利）, 切尔西（维亚利）
1998 - 1999, 曼联（弗格森）, 阿森纳（温格）, 切尔西（古力特、维亚利）, 利兹联（威尔金森）
1997 - 1998, 阿森纳（温格）, 曼联（弗格森）, 利物浦（埃文斯）, 切尔西（古力特）
1996 - 1997, 曼联（弗格森）, 纽卡斯尔联（达格利什）, 阿森纳（温格）, 利物浦（埃文斯）
1995 - 1996, 曼联（弗格森）, 纽卡斯尔联（基冈）, 利物浦（埃文斯）, 阿斯顿维拉（利特尔）
1994 - 1995, 布莱克本（达格利什）, 曼联（弗格森）, 诺丁汉森林（克拉克）, 利物浦（索内斯）
1993 - 1994, 曼联（弗格森）, 布莱克本（达格利什）, 纽卡斯尔联（基冈）, 阿森纳（格拉汉姆）
1992 - 1993, 曼联（弗格森）, 阿斯顿维拉（利特尔）, 诺维奇城（沃克）, 布莱克本（达格利什）
